,Unnamed: 0,Unnamed: 0.1,NCT Number,drugs_in_arm1,drugs_in_arm2,arm1_has_drug_combo,arm2_has_drug_combo,Total drugs_in_arm1,1L drugs_in_arm1,2L drugs_in_arm1,Total drugs_in_arm2,1L drugs_in_arm2,2L drugs_in_arm2,Phases
0,10,10,NCT02613507,nivolumab,docetaxel,False,False,7554,1760,3906,2102,330,975,Phase 3
1,12,12,NCT02075840,alectinib,crizotinib,False,False,379,144,117,763,525,153,Phase 3
2,17,17,NCT00391274,pemetrexed,docetaxel,False,False,2670,1037,1126,2102,330,975,Phase 3
3,22,22,NCT00441922,docetaxel,vinorelbine,False,False,2102,330,975,1072,194,235,Phase 3
4,28,28,NCT00874419,erlotinib,"gemcitabine, carboplatin",False,True,4655,2945,1026,1860,1162,429,Phase 3
5,29,29,NCT01905657,pembrolizumab,docetaxel,False,False,3453,2259,836,2102,330,975,Phase 2|Phase 3
6,34,34,NCT01642004,nivolumab,docetaxel,False,False,7554,1760,3906,2102,330,975,Phase 3
7,35,35,NCT02008227,atezolizumab,docetaxel,False,False,623,142,295,2102,330,975,Phase 3
8,38,38,NCT02838420,alectinib,crizotinib,False,False,379,144,117,763,525,153,Phase 3
9,58,58,NCT00442026,docetaxel,gemcitabine,False,False,2102,330,975,2264,407,781,Phase 3
10,60,60,NCT00637910,erlotinib,docetaxel,False,False,4655,2945,1026,2102,330,975,Phase 3
11,67,67,NCT01673867,nivolumab,docetaxel,False,False,7554,1760,3906,2102,330,975,Phase 3
12,73,73,NCT02864394,pembrolizumab,docetaxel,False,False,3453,2259,836,2102,330,975,Phase 3
13,86,86,NCT03460678,pemetrexed,erlotinib,False,False,2670,1037,1126,4655,2945,1026,Phase 4
14,88,88,NCT01652469,erlotinib,docetaxel,False,False,4655,2945,1026,2102,330,975,Phase 3
15,107,107,NCT01523587,afatinib,erlotinib,False,False,1046,502,334,4655,2945,1026,Phase 3
16,131,131,NCT00440414,erlotinib,pemetrexed,False,False,4655,2945,1026,2670,1037,1126,Phase 3
17,133,133,NCT01196078,erlotinib,vinorelbine,False,False,4655,2945,1026,1072,194,235,Phase 4
18,149,149,NCT00003447,gemcitabine,vinorelbine,False,False,2264,407,781,1072,194,235,Phase 3
19,166,166,NCT00738881,erlotinib,pemetrexed,False,False,4655,2945,1026,2670,1037,1126,Phase 3
